username,password,real_name,student_no,courses
stu179,SmartCarb#2026,崔子,202520078,"2,4"
stu180,SmartCarb#2026,崔宇,202520079,5
stu181,SmartCarb#2026,蔡诗,202520080,4
stu182,SmartCarb#2026,郭平,202520081,"4,5"
stu183,SmartCarb#2026,蔡丽,202520082,"2,4"
stu184,SmartCarb#2026,江晓,202520083,4
stu185,SmartCarb#2026,熊语,202520084,5
stu186,SmartCarb#2026,程军,202520085,"2,4"
stu187,SmartCarb#2026,魏驰,202520086,2
stu188,SmartCarb#2026,金轩,202520087,5
stu189,SmartCarb#2026,龙燕,202520088,5
stu190,SmartCarb#2026,魏俊,202520089,"2,5"
stu191,SmartCarb#2026,韦涛,202520090,"4,5"
stu192,SmartCarb#2026,于怡,202520091,5
stu193,SmartCarb#2026,唐建,202520092,2
stu194,SmartCarb#2026,胡娜,202520093,"2,4"
stu195,SmartCarb#2026,龚丽,202520094,"2,5"
stu196,SmartCarb#2026,罗彤,202520095,"2,4"
stu197,SmartCarb#2026,史嫣,202520096,4
stu198,SmartCarb#2026,张涵,202520097,4
stu199,SmartCarb#2026,杜静,202520098,"2,4"
stu200,SmartCarb#2026,莫芬,202520099,2
stu201,SmartCarb#2026,莫丽,202520100,"2,4"
stu202,SmartCarb#2026,谭明,202520101,"2,4"
stu203,SmartCarb#2026,陆晨,202520102,"2,4"
stu204,SmartCarb#2026,毛俊,202520103,5
stu205,SmartCarb#2026,吕怡,202520104,2
stu206,SmartCarb#2026,吕燕,202520105,"2,4"
stu207,SmartCarb#2026,彭淑,202520106,4
stu208,SmartCarb#2026,曾静,202520107,"2,4"
stu209,SmartCarb#2026,周涵,202520108,"4,5"
stu210,SmartCarb#2026,韦怡,202520109,"2,4"
stu211,SmartCarb#2026,张轩,202520110,5
stu212,SmartCarb#2026,顾轩,202520111,4
stu213,SmartCarb#2026,顾博,202520112,"4,5"
stu214,SmartCarb#2026,吕杰,202520113,"2,4"
stu215,SmartCarb#2026,卢霞,202520114,"2,5"
stu216,SmartCarb#2026,丁俊,202520115,"2,4,5"
stu217,SmartCarb#2026,于亦,202520116,2
stu218,SmartCarb#2026,石昊,202520117,4
stu219,SmartCarb#2026,闫庆,202520118,2
stu220,SmartCarb#2026,贺涵,202520119,"2,4"
stu221,SmartCarb#2026,夏思,202520120,"2,4"
stu222,SmartCarb#2026,郭芬,202520121,5
stu223,SmartCarb#2026,冯志,202520122,"2,4"
stu224,SmartCarb#2026,廖豪,202520123,"2,4"
stu225,SmartCarb#2026,肖欣,202520124,5
stu226,SmartCarb#2026,邱婷,202520125,"2,5"
stu227,SmartCarb#2026,夏凝,202520126,5
stu228,SmartCarb#2026,沈军,202520127,2
stu229,SmartCarb#2026,孟杰,202520128,"2,4"
stu230,SmartCarb#2026,胡宇,202520129,5
stu231,SmartCarb#2026,石妍,202520130,5
stu232,SmartCarb#2026,韩杰,202520131,4
stu233,SmartCarb#2026,何彤,202520132,5
stu234,SmartCarb#2026,吴芳,202520133,2
stu235,SmartCarb#2026,何昊,202520134,"2,5"
stu236,SmartCarb#2026,姜凡,202520135,5
stu237,SmartCarb#2026,董嘉,202520136,"4,5"
stu238,SmartCarb#2026,钟泽,202520137,"2,4"
stu239,SmartCarb#2026,程凝,202520138,2
stu240,SmartCarb#2026,魏宇,202520139,4
stu241,SmartCarb#2026,叶丽,202520140,"2,4"
stu242,SmartCarb#2026,许涵,202520141,"4,5"
stu243,SmartCarb#2026,王涵,202520142,2
stu244,SmartCarb#2026,白淑,202520143,5
stu245,SmartCarb#2026,钱晓,202520144,"2,4,5"
wangfang_2024,SmartCarb#2026,钟霞,202520145,"2,4"
lizhihao_2024,SmartCarb#2026,钟建,202520146,2
zhangwei_2024,SmartCarb#2026,肖婷,202520147,"2,5"
chenxue_2024,SmartCarb#2026,张鹏,202520148,"4,5"
liuyang_2024,SmartCarb#2026,郭涵,202520149,"4,5"
huangmin_2024,SmartCarb#2026,董凡,202520150,5
zhoujie_2024,SmartCarb#2026,孙凯,202520151,"2,5"
wuqiang_2024,SmartCarb#2026,郝豪,202520152,"2,4"
xuyan_2024,SmartCarb#2026,江芳,202520153,4
sunlei_2024,SmartCarb#2026,汤香,202520154,2
malin_2024,SmartCarb#2026,谢泽,202520155,"2,4"
zhujun_2024,SmartCarb#2026,肖航,202520156,"2,5"
hujing_2024,SmartCarb#2026,邱娜,202520157,"2,4"
guoli_2024,SmartCarb#2026,彭雨,202520158,"2,4"
gaoming_2024,SmartCarb#2026,曹芳,202520159,4
linxia_2024,SmartCarb#2026,梁华,202520160,"2,4"
luoyu_2024,SmartCarb#2026,段淑,202520161,"4,5"
zhengfei_2024,SmartCarb#2026,万若,202520162,"2,5"
liangchen_2024,SmartCarb#2026,田曦,202520163,2
songyuan_2024,SmartCarb#2026,田怡,202520164,"4,5"
tangxin_2024,SmartCarb#2026,侯琪,202520165,2
hanhan_2024,SmartCarb#2026,金明,202520166,"2,4,5"
fenglei_2024,SmartCarb#2026,向志,202520167,"4,5"
dengchao_2024,SmartCarb#2026,潘勇,202520168,"2,4"
caojing_2024,SmartCarb#2026,彭杰,202520169,2
